style,name,category,price,size_scale,A,B,C,D,E,F
205059,BRAVA,JK,378.0,00-16,6/14,10,10,8/14,2,2
212064,CLEO,BL,298.0,00-16,6,10,2,8/*00,10,4
210010,CLARK,SW,178.0,XS-XL,M,S,M,S,XS,S
214059,BRAVA,SK,218.0,00-16,6,10,10,8,2,2
210121,ESSEX,SW,188.0,XS-XL,XS,S,M,L,XS,S
210098,DELANCEY,SW,248.0,XS-XL,S,XS,M,M,XS,S
214014,CHELSEA,SK,298.0,00-16,6/0,4,6,8/16,2,8
205033,BELMONT,JK,448.0,00-16,6,10,8/0,6/16,8,8
212175,DOVER,BL,298.0,00-16,4,2,6,8/16,6,8/0
212101,ASTORIA,BL,358.0,00-16,10,2,8,8,6,4
209179,COLUMBUS,PT,258.0,00-16,8,6/14,4,2,6/0,10
212100,DESI,BL,298.0,00-16,4,8/16,6,10,10,8
212013,BELTED,BL,268.0,00-16,8/16,10,2,8,4,10
212030,ROCKEFELLER,BL,198.0,00-16,10,4,6,4,10,8
209001,ENCORE,PT,238.0,00-16,8,12,8/16,10,2,2
205001,ENCORE,JK,398.0,00-16,12,8,6,10/0,4/14,8
210136,MANHATTAN,SW,258.0,XS-XL,M,L,XS,S,L,XS
214136,MANHATTAN,SK,198.0,XS-XL,M,L,XS,S,L,XS
215060,LEOPARD,DR,368.0,00-16,4,12,4,2,8,6
215008,DARCY,DR,328.0,XS-XL,L,S,M,S,L,M
215126,BEEKMAN,DR,298.0,XS-XL,S,L,M,S,L,M
205025,SUTTON,JK,648.0,00-16,4,2,8,8,10,6
212085,FOLIAGE,BL,238.0,00-16,6/0,12,10,6/0,12,2
210130,CHRISTOPHER,SW,248.0,XS-XL,S,L,S,M,L,S
209092,IRVING,PT,238.0,00-16,6,10/0,2,8,10/14,4
210131,THOMPSON,SW,228.0,XS-XL,M,XS,XS,L,M,XS
210133,SULLIVAN,SW,218.0,XS-XL,L,XS,S,M,S,XS
210122,SIENNA,SW,248.0,XS-XL,L,M,XS,S,S,XS
214057,PIPER,SK,238.0,00-16,8/16,4,6,2,8,8/0
205081,HARLEM,JK,498.0,XS-XL,XS,L,XS,M,S,L
212058,CLOONEY,BL,238.0,00-16,4,6,10,6,8/0,6
209258,MURRAY,PT,238.0,00-16,2,2,8,6/14,2,6/0
216011,JOJO,BT,148.0,XS-XL,M,S,M,S,S,M
205056,HENRY,JK,458.0,00-16,10,4,6,8,2,4
210134,LEXINGTON,SW,188.0,XS-XL,S,M,L,XS,S,M
210006,BLEECKER,SW,238.0,XS-XL,XL,M,S,XL,M,L
214095,METROPOLITAN,SK,298.0,00-16,4,8,10,2,6,12
210137,MALCOLM,SW,298.0,XS-XL,S,M,L,S,M,XS
210138,MALCOLM,SW,188.0,XS-XL,S,M,L,S,M,XS
209005,LEROY,PT,248.0,00-16,4/14,8,10/0,4,8,2
217016,ST. GERMAIN,SC,128.0,ONE,ONE,ONE,ONE,ONE,ONE,ONE
215067,STATUS,DR,338.0,00-16,8,4,6,10,12,2
215127,REFINERY,DR,328.0,XS-XL,M,S,L,M,S,L
215084,RIVINGTON,DR,338.0,00-16,6,10,2,8,10,12
205023,WILDLIFE,JK,598.0,00-16,4,6,8/16,12,8,6/0
210157,WAVERLY,SW,188.0,XS-XL,L,XS,S,M,L,XS
214023,WILDLIFE,SK,218.0,00-16,8,6,8/14,6,8,4
205027,GRAMERCY,JK,298.0,00-16,10/0,4,2,4,10,4/14
212263,BOWERY,BL,298.0,00-16,2,8/0,4,8,10,6/16
214263,BOWERY,SK,298.0,00-16,2,8/0,4,8,10,6/16
215148,MOMA,DR,368.0,XS-XL,L,M,S,L,M,S
215273,WALDORF,DR,398.0,00-16,2,6,8,4,2,8
215094,EMPIRE,DR,468.0,00-16,8,10,8,2,4,6
210679,missing
214032,BROOKLYN,SK,198.0,00-16,12,6/16,4,10,12,4
215091,LAUREN,DR,338.0,00-16,8,2,4,10/16,8,10/16
205260,GALLAGHER,JK,598.0,00-16,8,6/0,4,2,4/16,6
210103,CHAMELEON,SW,238.0,XS-XL,M,XL,L,M,XL,S
210120,JEFFERSON,SW,238.0,XS-XL,XS,XS,M,L,XS,S
209047,BRONX,PT,238.0,00-16,12,8,4,6,10,6/16
212046,BERKELEY,BL,268.0,00-16,8,6,10,12,2,10
214075,BLOSSOM,SK,258.0,00-16,10,2,8,10,4,8
210140,EUPHORIA,SW,238.0,XS-XL,XS,L,S,XS,L,XS
210144,FUCHSIA,SW,238.0,XS-XL,XS,L,S,XS,M,M
212038,ARCADIA,BL,248.0,00-16,6,10,8,2,4,10
209298,WAYFARER,PT,165.0,0-16,4,10,8/16,6,8,4
210142,CAMARO,SW,218.0,XS-XL,L,S,L,M,S,L
210141,BENTLEY,SW,248.0,XS-XL,XS,S,M,L,XS,M
214141,BENTLEY,SK,198.0,XS-XL,XS,S,M,L,XS,M
215028,NOLITA,DR,338.0,00-16,6,2,10,4,2,6
215117,DIJON,DR,328.0,00-16,10,6,4,12,2,8
205105,PRINCETON,JK,498.0,00-16,2,8,10,4,6,10
212112,FLOURISH,BL,268.0,00-16,2,10,8/*00,4,6,4
209039,HAZE,PT,238.0,00-16,8/16,6,12,2,4,8
217019,MOLLY,SC,128.0,ONE,ONE,ONE,ONE,ONE,ONE,ONE
210149,GOLDENROD,SW,218.0,XS-XL,S,M,L,L,S,L
210151,DARTMOUTH,SW,188.0,XS-XL,M,L,XS,S,M,L
214221,IVY LEAGUE,SK,238.0,00-16,2,6,8/0,12,6/14,10
210132,STANTON,SW,398.0,XS-XL,M,S,L,XS,S,XS
210169,HARVEST,SW,228.0,XS-XL,S,XS,L,M,S,L
209118,CHOCOLATE,PT,198.0,0-16,10,6,8/0,10,4,2
215269,KENDALL,DR,338.0,00-16,10,4/16,2,6,6/16,8
215105,PRINCETON,DR,348.0,00-16,2,8,12,4,6,10
215267,DANIELA,DR,348.0,00-16,6,4,6,8,10,2
205106,WHITMAN,JK,378.0,00-16,2,8,2,4,6,12
212116,DRAPER,BL,268.0,00-16,2,8,10,4,6,8
212002,JAMES,BL,248.0,00-16,2,8,10,4,8/*00,10
209106,WHITMAN,PT,258.0,00-16,2,8/16,2,4,6/16,12
210153,CAPONE,SW,218.0,XS-XL,L,M,XS,S,L,M
210172,MOXIE,SW,198.0,XS-XL,L,S,S,S,L,M
214106,WHITMAN,SK,218.0,00-16,4,8/14,2,4,6/16,12
212135,LINCOLN,BL,248.0,00-16,8,10,8/0,10,4,2
210156,COOPER,SW,238.0,XS-XL,XS,S,L,S,M,L
209146,CARTER,PT,238.0,00-16,8,4,2,8/16,6/*00,10
205108,MANCHESTER,JK,498.0,00-16,6,2/16,12,6,8/0,10
210152,CORNELL,SW,198.0,XS-XL,S,M,XS,M,S,S
212109,FEATHERS,BL,268.0,00-16,12,6,4,10,2,6
209298,WAYFARER,PT,165.0,0-16,4,10,8/16,6,8,4
205061,BRUNO,JK,378.0,00-16,10,4,6,10,4,8
212062,WISTERIA,BL,238.0,00-16,6,4,6,10,4,8
212065,IMPERIAL,BL,238.0,00-16,8,6,8,2,4,4
209061,BRUNO,PT,258.0,00-16,10/0,4,6,10,4,8/14
210163,GRAPPA,SW,238.0,XS-XL,L,S,S,XS,S,S
